Name Event,Description,Date,Audience,Cycle,Veneu,Address,City ,Country,Website,Link
IRANCONMIN 2023,"International Trade Fair for the Construction Industry, the Building-Materials Industry and Mining",on Jan. 2023,Trade Public,once a year,Tehran Permanent Fairground,Dr. Chamran Highway Tadjrish,Tehran (Iran),Iran,http://www.iranconminfair.com/en,https://www.eventseye.com/fairs/f-iranconmin-1572-1.html
EXPO HOUSE 2023,Tunisian furniture and interior decoration fair,"Oct. 21 - 30, 2022",Trade Public,twice a year,Centre des  Expositions de Tunis-la Charguia,La Charguia Tunis,Tunis (Tunisia),Tunisia,http://www.sogefoires.com,https://www.eventseye.com/fairs/f-expo-house-28421-1.html
LEBENSART MESSE - RADOLFZELL 2023,"Garden, Home and Lifestyle Fair. In addition to seasonal products from the world of gardens and plants, new ideas from the living and furnishing sector as well as selected exhibits from fashion, jewelry and accessories ensure a harmonious ambience",on Jan. 2023,Trade & General Public,once a year,Milchwerk Radolfzell,Güttinger Straße 19 78315 Radolfzell,Radolfzell (Germany),Germany,http://www.lebensart-messe.de/LebensArt-Messe-Radolfzell.html,https://www.eventseye.com/fairs/f-lebensart-messe-radolfzell-26249-1.html
BAUMESSE ESSEN 2023,"Home, Construction, Renovation & Energy Savings Expo","Jan. 05 - 07, 2024",Trade & General Public,once a year,Messe Essen,Norbertstrasse D - 45131 Essen,Essen (Germany),Germany,http://www.baumesse.de/essen,https://www.eventseye.com/fairs/f-baumesse-essen-27018-1.html
LES THERMALIES - LYON 2023,"Water, Wellness, Thermalism & Thalassotherapy Exhibition",on Jan. 2023,General Public,once a year,Eurexpo,Bd de l'Europe 69680 Chassieu,Lyon (France),France,http://www.thermalies.com/lyon/thermalies-lyon-en.html,https://www.eventseye.com/fairs/f-les-thermalies-lyon-24933-1.html
"CHARLESTON BUILD, REMODEL & LANDSCAPE EXPO 2023","Build, Remodel & Landscape Expo","Jan. 06 - 08, 2023",Trade & General Public,once a year,Exchange Park Fairgrounds,"9850 Hwy 78 Ladson, SC 29456","Charleston, SC (USA)",USA,http://www.homeshowcenter.com/overview/Charleston,https://www.eventseye.com/fairs/f-charleston-build-remodel-landscape-expo-11122-1.html
OCM - CONSTRUCTION MATERIALS 2023,"Specialized exhibition for Construction Materials in Moscow - new materials for constructions, new technologies for buildings",on Jan. 2023,Trade Public,once a year,Expocentr' Krasnaya Presnya Fairgrounds,"14, Krasnopresnenskaya naberezhnaya Moscow 123100",Moscow (Russia),Russia,http://www.euroexpo.ru,https://www.eventseye.com/fairs/f-ocm-construction-materials-11059-1.html
COLORADO SPRINGS HOME BUILDING & REMODELING SHOW 2023,Home Building & Remodeling Show,"Jan. 06 - 08, 2023",Trade & General Public,once a year,Norris-Penrose Event Center,"1045 Lower Gold Camp Rd. Colorado Springs, CO 80906","Colorado Springs, CO (USA)",USA,http://www.homeshowcenter.com/overview/ColoradoSprings,https://www.eventseye.com/fairs/f-colorado-springs-home-building-remodeling-show-11118-1.html
INTERNATIONAL CES 2023,The International CES is the world's greatest tradeshow for consumer technology,"Jan. 05 - 08, 2023",General Public,once a year,Las Vegas Convention Center,"3150 Paradise Road  Las Vegas, NV 89109","Las Vegas, NV (USA)",USA,http://www.ces.tech,https://www.eventseye.com/fairs/f-international-ces-1459-1.html
AUSTIN HOME & GARDEN SHOW 2023,"The Austin, TX Home & Garden Show is the place for you to experience what's new in remodelling, gardening, decorating and anything related to your home & garden","Jan. 12 - 14, 2024",Trade & General Public,once a year,Austin Convention Center,"500 East Cesar Chavez Street Austin, TX 78701","Austin, TX (USA)",USA,http://austinfallhomeandgardenshow.com,https://www.eventseye.com/fairs/f-austin-home-garden-show-28332-1.html
Name Event,Description,Date,Audience,Cycle,Veneu,Address,City ,Country,Website,Link
